Title,Creator,AgeRecommendation,Active,Favorites,Visits,VoiceChat,Camera,Created,Updated,ServerSize,Genre,Likes,Dislikes,YearsSinceCreation,Ratio_Likes,Ratio_Dislikes
TURBO TOWER BATTLES OBBY EDITION,EIementistic,Ages 9+,463,13696,16100000.000000002,0,0,2020-04-24,2024-11-10,12,Action,2754.0,2073.0,4,0.5705407085146054,0.42945929148539463
Two Player Obby 2,Funny.Games,All Ages,234,710908,447700000.0,0,0,2021-03-08,2023-05-06,16,Obby & Platformer,111000.0,51000.0,2,0.6851851851851852,0.31481481481481477
Typical Colors 2 [🎃] [MOBILE BETA],Dorcus Digital,Ages 9+,888,472094,118400000.0,0,0,2015-12-04,2024-11-13,24,Shooter,161000.0,41000.0,9,0.7970297029702971,0.20297029702970293
Ultimate Battlegrounds,By,Ages 9+,7923,366950,212700000.0,0,0,2022-12-14,2024-11-11,15,Action,215000.0,47000.0,2,0.8206106870229007,0.17938931297709926
Ultimate Ragdoll Playground,ShrekWasMyIdea,Ages 9+,797,84921,75500000.0,0,0,2022-10-15,2024-10-31,35,Simulation,11000.0,2516.0,2,0.8138502515537142,0.18614974844628585
Underground War 2.0 ⚔️ [NUKE],capserg,Ages 9+,3599,385892,531100000.0,0,0,2022-06-02,2024-11-05,12,Action,222000.0,37000.0,2,0.8571428571428571,0.1428571428571429
[GASTER] Undertale Test Place Reborn,i8cheese,Ages 9+,4971,353337,109000000.0,0,0,2021-09-17,2024-11-13,16,Action,126000.0,25000.0,3,0.8344370860927153,0.16556291390728473
Unlimited Drifting,INGameWorks Studio,All Ages,11,3704,2700000.0,0,0,2023-01-09,2023-01-18,1,Simulation,763.0,524.0,0,0.5928515928515928,0.40714840714840717
Unnamed Shooter,Lua_Fish,Ages 9+,1234,99550,38800000.0,0,0,2023-07-27,2024-11-06,20,Shooter,40000.0,14000.0,1,0.7407407407407407,0.2592592592592593
untitled tag game [recode] ,_create,All Ages,3775,471740,185200000.0,0,0,2023-07-13,2024-11-12,40,Party & Casual,340000.0,33000.0,1,0.9115281501340483,0.08847184986595169
Vayhood Hangout ❤️,TheOfficiaITeddy,All Ages,1175,1188741,12300000.0,0,0,2024-01-16,2024-11-09,50,Social,3844.0,1722.0,0,0.6906216313330937,0.30937836866690627
Venom Simulator ,Spider_Engineer,Ages 9+,700,48764,108400000.0,0,0,2015-07-02,2024-03-13,10,Action,9722.0,9620.0,9,0.5026367490435322,0.49736325095646783
vLife 🏡 RP,Dreamfusion Games,All Ages,791,31360,6600000.0,0,0,2024-09-07,2024-11-04,25,Roleplay & Avatar Sim,4255.0,1202.0,0,0.7797324537291552,0.22026754627084477
